iter	Passed	Remaining
0	137	137025
1	138	69275
2	140	46757
3	142	35513
4	144	28762
5	146	24225
6	147	20977
7	151	18762
8	153	16880
9	155	15350
10	156	14107
11	159	13109
12	160	12214
13	163	11484
14	164	10818
15	166	10235
16	168	9715
17	169	9263
18	171	8858
19	173	8490
20	175	8158
21	176	7862
22	178	7562
23	179	7306
24	181	7071
25	182	6852
26	184	6648
27	185	6450
28	187	6276
29	189	6114
30	191	5970
31	192	5830
32	194	5697
33	196	5570
34	197	5451
35	199	5339
36	201	5234
37	202	5130
38	204	5039
39	206	4946
40	207	4860
41	209	4778
42	210	4686
43	212	4610
44	213	4536
45	214	4456
46	216	4392
47	218	4331
48	220	4270
49	221	4212
50	223	4159
51	224	4093
52	225	4035
53	227	3986
54	229	3936
55	230	3892
56	232	3849
57	234	3806
58	236	3764
59	237	3725
60	239	3685
61	240	3645
62	242	3609
63	244	3578
64	246	3544
65	248	3511
66	249	3478
67	251	3446
68	253	3415
69	254	3385
70	256	3356
71	258	3330
72	260	3301
73	261	3273
74	263	3247
75	264	3221
76	266	3196
77	268	3169
78	269	3145
79	271	3124
80	273	3101
81	274	3078
82	276	3056
83	278	3034
84	279	3013
85	281	2993
86	283	2972
87	285	2956
88	286	2937
89	288	2917
90	290	2897
91	291	2879
92	293	2861
93	295	2844
94	296	2826
95	298	2811
96	299	2790
97	301	2777
98	303	2765
99	305	2752
100	306	2731
101	308	2716
102	310	2702
103	312	2689
104	313	2674
105	315	2660
106	317	2646
107	318	2632
108	320	2619
109	322	2606
110	323	2591
111	325	2578
112	326	2560
113	327	2548
114	329	2536
115	331	2524
116	332	2512
117	334	2501
118	336	2490
119	338	2479
120	339	2468
121	340	2452
122	342	2441
123	344	2432
124	346	2422
125	347	2413
126	349	2403
127	351	2392
128	353	2386
129	355	2378
130	357	2369
131	359	2361
132	360	2352
133	362	2344
134	364	2335
135	366	2329
136	369	2330
137	372	2329
138	374	2322
139	377	2316
140	379	2311
141	381	2306
142	384	2302
143	386	2298
144	388	2292
145	390	2285
146	392	2279
147	394	2272
148	396	2264
149	398	2256
150	399	2248
151	401	2240
152	403	2233
153	405	2225
154	406	2218
155	408	2210
156	410	2203
157	411	2195
158	413	2187
159	415	2179
160	416	2172
161	418	2164
162	420	2157
163	421	2150
164	423	2145
165	425	2138
166	426	2127
167	428	2120
168	429	2113
169	431	2106
170	433	2099
171	434	2093
172	436	2087
173	438	2080
174	439	2073
175	441	2066
176	443	2060
177	444	2054
178	446	2048
179	448	2042
180	450	2036
181	451	2030
182	453	2023
183	454	2017
184	456	2011
185	458	2005
186	459	1999
187	461	1995
188	463	1989
189	465	1983
190	466	1977
191	468	1971
192	470	1965
193	471	1959
194	473	1954
195	475	1949
196	477	1944
197	478	1938
198	480	1932
199	481	1926
200	483	1921
201	484	1915
202	486	1910
203	488	1904
204	489	1899
205	491	1894
206	493	1889
207	494	1884
208	496	1879
209	498	1873
210	499	1868
211	501	1864
212	503	1859
213	504	1854
214	506	1849
215	508	1844
216	509	1839
217	511	1834
218	513	1830
219	514	1824
220	516	1821
221	518	1817
222	520	1813
223	522	1809
224	523	1804
225	525	1800
226	527	1796
227	529	1792
228	530	1787
229	532	1783
230	534	1778
231	535	1774
232	537	1769
233	539	1765
234	540	1761
235	542	1756
236	544	1752
237	545	1746
238	546	1741
239	548	1737
240	550	1732
241	551	1728
242	553	1723
243	555	1720
244	556	1715
245	558	1711
246	560	1707
247	561	1703
248	563	1699
249	565	1695
250	566	1690
251	568	1687
252	570	1683
253	571	1679
254	573	1675
255	575	1671
256	576	1667
257	578	1663
258	579	1658
259	581	1655
260	583	1651
261	585	1648
262	586	1644
263	588	1640
264	589	1636
265	591	1632
266	593	1629
267	595	1626
268	597	1623
269	599	1619
270	600	1615
271	602	1612
272	604	1608
273	605	1604
274	607	1600
275	608	1597
276	610	1593
277	612	1590
278	613	1586
279	615	1582
280	617	1579
281	618	1575
282	620	1572
283	622	1569
284	624	1565
285	625	1562
286	627	1558
287	629	1555
288	630	1551
289	632	1548
290	634	1544
291	636	1542
292	637	1538
293	639	1535
294	641	1532
295	642	1528
296	644	1524
297	645	1521
298	647	1518
299	649	1514
300	651	1512
301	652	1509
302	654	1506
303	656	1503
304	658	1500
305	660	1497
306	661	1494
307	663	1490
308	665	1487
309	666	1484
310	668	1481
311	670	1478
312	672	1475
313	673	1472
314	675	1469
315	677	1465
316	678	1462
317	680	1458
318	681	1455
319	683	1452
320	685	1449
321	686	1446
322	688	1443
323	690	1439
324	691	1436
325	693	1433
326	694	1430
327	696	1427
328	698	1424
329	700	1421
330	701	1418
331	703	1415
332	705	1412
333	706	1409
334	708	1406
335	710	1403
336	711	1400
337	713	1398
338	715	1394
339	717	1391
340	718	1389
341	720	1386
342	722	1383
343	724	1380
344	725	1378
345	727	1375
346	729	1372
347	731	1369
348	732	1366
349	734	1363
350	736	1361
351	737	1358
352	739	1355
353	741	1352
354	743	1350
355	744	1347
356	746	1344
357	748	1341
358	749	1338
359	751	1336
360	753	1333
361	755	1330
362	756	1328
363	758	1325
364	760	1322
365	761	1319
366	763	1316
367	765	1313
368	767	1311
369	769	1309
370	770	1306
371	772	1304
372	774	1301
373	775	1298
374	777	1295
375	779	1293
376	781	1290
377	782	1288
378	784	1285
379	786	1282
380	787	1279
381	789	1276
382	790	1273
383	792	1271
384	794	1269
385	796	1266
386	797	1263
387	799	1261
388	801	1258
389	803	1256
390	805	1254
391	807	1252
392	808	1249
393	810	1247
394	812	1244
395	814	1241
396	815	1239
397	817	1236
398	819	1233
