iter	Passed	Remaining
0	6	6028
1	10	5480
2	16	5579
3	22	5712
4	27	5501
5	31	5197
6	38	5391
7	43	5344
8	50	5572
9	57	5668
10	62	5614
11	67	5578
12	73	5589
13	76	5413
14	82	5398
15	86	5310
16	90	5234
17	93	5118
18	101	5222
19	114	5593
20	125	5835
21	128	5701
22	132	5608
23	134	5464
24	138	5388
25	141	5284
26	145	5243
27	151	5269
28	156	5247
29	160	5173
30	164	5134
31	172	5211
32	176	5183
33	182	5173
34	187	5167
35	189	5086
36	194	5071
37	196	4985
38	199	4916
39	202	4861
40	205	4809
41	211	4817
42	217	4836
43	223	4847
44	226	4815
45	230	4782
46	234	4753
47	237	4714
48	241	4693
49	247	4705
50	251	4679
51	253	4629
52	255	4569
53	259	4550
54	261	4499
55	264	4466
56	267	4423
57	270	4391
58	273	4362
59	276	4332
60	279	4302
61	283	4292
62	287	4282
63	291	4266
64	296	4268
65	299	4242
66	303	4223
67	307	4209
68	311	4209
69	314	4172
70	317	4149
71	318	4109
72	321	4084
73	323	4047
74	325	4008
75	327	3986
76	329	3950
77	331	3915
78	333	3886
79	335	3854
80	336	3823
81	339	3803
82	341	3767
83	343	3745
84	345	3718
85	347	3691
86	350	3674
87	351	3645
88	353	3617
89	356	3599
90	358	3576
91	359	3550
92	362	3532
93	364	3510
94	365	3485
95	368	3470
96	370	3450
97	372	3426
98	374	3406
99	376	3386
100	377	3363
101	380	3345
102	382	3329
103	384	3311
104	387	3299
105	388	3278
106	390	3258
107	392	3244
108	394	3225
109	396	3206
110	399	3196
111	400	3179
112	403	3166
113	405	3150
114	407	3133
115	409	3117
116	411	3102
117	412	3086
118	414	3069
119	416	3054
120	418	3039
121	419	3021
122	422	3012
123	424	2997
124	426	2986
125	428	2972
126	430	2955
127	432	2944
128	434	2932
129	435	2917
130	438	2907
131	440	2894
132	441	2880
133	443	2867
134	445	2856
135	447	2842
136	449	2832
137	451	2821
138	453	2808
139	456	2802
140	458	2792
141	459	2776
142	461	2766
143	463	2757
144	465	2746
145	468	2741
146	470	2728
147	472	2717
148	474	2711
149	476	2699
150	478	2688
151	480	2682
152	482	2671
153	484	2660
154	489	2669
155	494	2676
156	497	2670
157	501	2671
158	503	2663
159	507	2666
160	509	2656
161	513	2655
162	515	2647
163	518	2644
164	521	2637
165	523	2629
166	525	2621
167	527	2612
168	529	2605
169	531	2596
170	533	2586
171	535	2579
172	537	2570
173	539	2560
174	542	2557
175	544	2547
176	545	2537
177	547	2530
178	550	2522
179	551	2513
180	554	2509
181	556	2503
182	559	2498
183	561	2490
184	563	2481
185	564	2471
186	566	2463
187	568	2455
188	570	2449
189	572	2442
190	574	2433
191	577	2429
192	579	2421
193	580	2413
194	583	2407
195	584	2398
196	585	2388
197	587	2378
198	589	2372
199	591	2364
200	592	2357
201	596	2355
202	598	2348
203	601	2346
204	603	2340
205	605	2332
206	607	2328
207	609	2321
208	610	2312
209	612	2305
210	614	2298
211	616	2289
212	617	2280
213	619	2274
214	620	2266
215	622	2258
216	623	2250
217	625	2245
218	627	2237
219	628	2229
220	631	2225
221	633	2219
